day_month,max2020,max2019,max2018,max2017
2020-07-02,NA,NA,NA,151
2020-07-01,NA,NA,999,367
2020-06-30,NA,999,242,113
2020-06-29,NA,811,183,312
2020-06-28,NA,560,999,161
2020-06-27,NA,999,999,259
2020-06-26,NA,471,748,253
2020-06-25,NA,508,999,445
2020-06-24,NA,203,999,999
2020-06-23,NA,422,999,856
2020-06-22,NA,770,701,884
2020-06-21,NA,495,723,181
2020-06-20,NA,999,448,999
2020-06-19,NA,709,248,999
2020-06-18,89,999,495,884
2020-06-17,895,528,721,549
2020-06-16,645,543,983,586
2020-06-15,693,835,999,917
2020-06-14,343,604,999,972
2020-06-13,398,608,999,869
2020-06-12,692,999,999,194
2020-06-11,451,999,944,451
2020-06-10,702,999,982,555
2020-06-09,692,999,999,486
2020-06-08,176,999,999,176
2020-06-07,322,398,999,834
2020-06-06,563,961,999,704
2020-06-05,260,444,637,602
2020-06-04,876,436,480,999
2020-06-03,484,582,178,999
2020-06-02,895,410,464,999
2020-06-01,552,743,999,999
2020-05-31,589,984,606,169
2020-05-30,174,999,716,917
2020-05-29,418,999,999,184
2020-05-28,520,592,802,214
2020-05-27,732,323,940,405
2020-05-26,506,336,958,990
2020-05-25,733,999,690,537
2020-05-24,340,238,970,389
2020-05-23,999,999,860,999
2020-05-22,999,999,742,999
2020-05-21,999,527,999,999
2020-05-20,387,733,999,999
2020-05-19,999,676,999,914
2020-05-18,999,168,440,245
2020-05-17,895,999,999,999
2020-05-16,880,999,963,999
2020-05-15,952,999,324,999
2020-05-14,928,999,233,699
2020-05-13,254,999,999,999
2020-05-12,176,999,777,999
2020-05-11,442,862,999,999
2020-05-10,999,999,472,526
2020-05-09,286,984,902,718
2020-05-08,216,942,999,999
2020-05-07,242,997,971,936
2020-05-06,276,999,923,842
2020-05-05,179,849,613,973
2020-05-04,170,555,187,798
2020-05-03,895,510,712,999
2020-05-02,146,999,999,984
2020-05-01,256,746,469,763
2020-04-30,598,862,483,494
2020-04-29,367,880,576,876
2020-04-28,395,567,552,999
2020-04-27,999,929,730,680
2020-04-26,666,733,964,596
2020-04-25,999,999,851,999
2020-04-24,599,873,964,665
2020-04-23,991,978,625,999
2020-04-22,266,902,531,999
2020-04-21,238,793,999,901
2020-04-20,309,630,999,999
2020-04-19,405,454,574,999
2020-04-18,865,378,707,999
2020-04-17,187,454,999,947
2020-04-16,895,999,999,892
2020-04-15,407,581,999,999
2020-04-14,541,NA,999,976
2020-04-13,258,687,999,926
2020-04-12,176,741,553,999
2020-04-11,179,712,198,707
2020-04-10,357,892,576,726
2020-04-09,142,908,464,448
2020-04-08,129,780,343,999
2020-04-07,183,999,263,999
2020-04-06,168,729,999,704
2020-04-05,174,999,707,726
2020-04-04,165,809,678,999
2020-04-03,156,694,463,494
2020-04-02,129,676,474,727
2020-04-01,158,552,455,736
2020-03-31,660,732,665,952
2020-03-30,233,558,895,503
2020-03-29,151,959,895,786
2020-03-28,112,999,895,522
2020-03-27,115,777,834,616
2020-03-26,158,799,520,697
2020-03-25,756,275,415,908
2020-03-24,896,187,497,661
2020-03-23,193,655,950,999
2020-03-22,387,456,613,713
2020-03-21,950,563,658,999
2020-03-20,999,510,702,999
2020-03-19,480,902,360,999
2020-03-18,748,999,318,892
2020-03-17,512,699,364,613
2020-03-16,392,470,792,999
2020-03-15,208,293,867,999
2020-03-14,999,687,791,999
2020-03-13,315,923,770,469
2020-03-12,530,289,798,421
2020-03-11,134,543,471,178
2020-03-10,482,889,285,111
2020-03-09,440,428,716,164
2020-03-08,342,697,838,466
2020-03-07,895,669,552,999
2020-03-06,166,552,409,523
2020-03-05,509,450,514,560
2020-03-04,516,439,506,239
2020-03-03,481,380,489,290
2020-03-02,965,592,692,682
2020-03-01,999,382,759,682
2020-02-29,404,NA,NA,NA
2020-02-28,232,385,649,999
2020-02-27,339,138,594,597
2020-02-26,999,370,516,448
2020-02-25,679,423,779,403
2020-02-24,523,550,995,499
2020-02-23,378,188,983,936
2020-02-22,716,809,999,999
2020-02-21,322,878,990,966
2020-02-20,536,719,999,999
2020-02-19,826,940,999,999
2020-02-18,999,702,801,868
2020-02-17,660,865,880,679
2020-02-16,999,423,525,531
2020-02-15,451,688,499,999
2020-02-14,999,646,497,935
2020-02-13,422,999,466,999
2020-02-12,594,989,999,999
2020-02-11,999,776,999,999
2020-02-10,999,999,999,509
2020-02-09,854,646,999,999
2020-02-08,554,412,999,976
2020-02-07,808,210,738,508
2020-02-06,999,578,808,708
2020-02-05,682,999,808,931
2020-02-04,999,999,556,999
2020-02-03,999,657,680,999
2020-02-02,534,732,907,999
2020-02-01,552,398,999,647
2020-01-31,852,999,603,831
2020-01-30,522,999,628,759
2020-01-29,508,808,709,298
2020-01-28,329,677,999,172
2020-01-27,823,499,948,131
2020-01-26,999,295,495,317
2020-01-25,999,359,380,999
2020-01-24,881,632,476,999
2020-01-23,423,537,659,963
2020-01-22,605,137,633,620
2020-01-21,765,790,659,863
2020-01-20,999,999,658,305
2020-01-19,455,999,999,421
2020-01-18,600,999,999,540
2020-01-17,360,999,999,426
2020-01-16,599,999,999,609
2020-01-15,545,752,693,687
2020-01-14,273,837,752,999
2020-01-13,999,999,885,959
2020-01-12,999,999,891,842
2020-01-11,999,999,777,622
2020-01-10,609,999,999,753
2020-01-09,325,787,999,566
2020-01-08,678,616,922,421
2020-01-07,314,806,954,159
2020-01-06,699,871,999,647
2020-01-05,999,999,863,726
2020-01-04,999,941,859,914
2020-01-03,999,999,722,914
2020-01-02,999,999,999,733
2020-01-01,999,999,889,789
